Date,Hospital_Code,Region,Hospital_Name,Type1_Attendances,Type2_Attendances,Other_Attendances,Type1_Over4hrs,Type2_Over4hrs,Other_Over4hrs,Wait_4to12hrs,Wait_12plus_hrs,Emerg_Admissions,Total_Attendances,Total_Over4hrs,Pct_Within_4hrs,Target_Failed,Year,Month,Quarter,Season
2025-11-01,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,4230,253,1528,1539,0,58,231,151,1299,4230,1539,63.62,1,2025,11,4,Autumn
2025-11-01,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7192,0,8197,4095,0,451,340,362,2302,7192,4095,43.06,1,2025,11,4,Autumn
2025-11-01,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8866,0,0,3750,0,0,887,155,2610,8866,3750,57.7,1,2025,11,4,Autumn
2025-11-01,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,10929,0,13304,5054,0,1413,770,461,4745,10929,5054,53.76,1,2025,11,4,Autumn
2025-11-01,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,22861,800,11293,9459,0,345,1216,427,6619,22861,9459,58.62,1,2025,11,4,Autumn
2025-11-01,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16331,1709,8379,7870,0,509,860,1040,5177,16331,7870,51.81,1,2025,11,4,Autumn
2025-11-01,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,11135,934,3105,4299,11,8,678,1284,3048,11135,4299,61.39,1,2025,11,4,Autumn
2025-11-01,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8530,0,369,2261,0,0,375,64,1870,8530,2261,73.49,1,2025,11,4,Autumn
2025-11-01,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,14698,497,8611,8019,0,205,1073,1093,4701,14698,8019,45.44,1,2025,11,4,Autumn
2025-11-01,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10970,69,3167,4721,0,125,77,6,3429,10970,4721,56.96,1,2025,11,4,Autumn
2025-11-01,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11842,0,3704,3069,0,12,689,249,3615,11842,3069,74.08,1,2025,11,4,Autumn
2025-11-01,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4555,301,1798,1638,0,0,379,54,1492,4555,1638,64.04,1,2025,11,4,Autumn
2025-11-01,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13781,0,0,4221,0,0,504,292,1486,13781,4221,69.37,1,2025,11,4,Autumn
2025-11-01,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,13567,1570,6522,5561,54,12,586,48,3864,13567,5561,59.01,1,2025,11,4,Autumn
2025-11-01,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13199,0,0,4804,0,0,430,389,2868,13199,4804,63.6,1,2025,11,4,Autumn
2025-11-01,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10619,0,12504,2577,0,0,20,0,4313,10619,2577,75.73,1,2025,11,4,Autumn
2025-11-01,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7533,0,2830,3455,0,25,521,325,3065,7533,3455,54.14,1,2025,11,4,Autumn
2025-11-01,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7413,0,9125,3761,0,361,372,24,2273,7413,3761,49.26,1,2025,11,4,Autumn
2025-11-01,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,9172,0,0,3075,0,0,554,366,3429,9172,3075,66.47,1,2025,11,4,Autumn
2025-11-01,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,16510,0,4055,6433,0,296,895,932,4882,16510,6433,61.04,1,2025,11,4,Autumn
2025-11-01,RA7,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,16630,2302,0,6196,153,0,1188,243,5062,16630,6196,62.74,1,2025,11,4,Autumn
2025-11-01,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,9292,0,8274,4538,0,40,474,185,2297,9292,4538,51.16,1,2025,11,4,Autumn
2025-11-01,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,6143,0,5510,2947,0,418,668,326,2697,6143,2947,52.03,1,2025,11,4,Autumn
2025-11-01,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,9954,0,4454,3561,0,85,2664,155,3504,9954,3561,64.23,1,2025,11,4,Autumn
2025-11-01,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8819,0,1720,4564,0,56,753,432,2139,8819,4564,48.25,1,2025,11,4,Autumn
2025-11-01,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,10425,814,2058,4000,22,132,467,669,2286,10425,4000,61.63,1,2025,11,4,Autumn
2025-11-01,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,20633,0,6228,5718,0,135,729,59,2893,20633,5718,72.29,1,2025,11,4,Autumn
2025-11-01,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LEEDS TEACHING HOSPITALS NHS TRUST,18631,733,11615,7498,0,641,1271,707,3617,18631,7498,59.76,1,2025,11,4,Autumn
2025-11-01,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,9070,0,2550,3894,0,97,693,551,3041,9070,3894,57.07,1,2025,11,4,Autumn
2025-11-01,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,5042,0,11490,2935,0,37,264,29,1733,5042,2935,41.79,1,2025,11,4,Autumn
2025-11-01,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,11914,1067,8726,5652,145,279,695,386,2712,11914,5652,52.56,1,2025,11,4,Autumn
2025-11-01,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10683,0,2678,5826,0,380,385,1454,3431,10683,5826,45.46,1,2025,11,4,Autumn
2025-11-01,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12110,3562,6975,4743,101,340,579,0,3655,12110,4743,60.83,1,2025,11,4,Autumn
2025-11-01,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8802,0,7278,2661,0,110,807,18,4497,8802,2661,69.77,1,2025,11,4,Autumn
2025-11-01,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,8127,0,1071,3187,0,57,644,445,2622,8127,3187,60.79,1,2025,11,4,Autumn
2025-11-01,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,7200,0,1649,1863,0,1,329,417,1119,7200,1863,74.12,1,2025,11,4,Autumn
2025-11-01,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,9523,0,5900,3391,0,853,379,591,1852,9523,3391,64.39,1,2025,11,4,Autumn
2025-11-01,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17705,0,7184,6946,0,120,520,471,7419,17705,6946,60.77,1,2025,11,4,Autumn
2025-11-01,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,11171,281,7361,5473,0,244,807,306,5058,11171,5473,51.01,1,2025,11,4,Autumn
2025-11-01,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,26810,0,9407,11165,0,301,1290,1068,7894,26810,11165,58.36,1,2025,11,4,Autumn
